INFO:root:server started
INFO:root:delegating col 408
INFO:root:col 408 processed
INFO:root:delegating col 409
INFO:root:col 409 processed
INFO:root:delegating col 410
INFO:root:col 410 processed
INFO:root:delegating col 411
INFO:root:col 411 processed
INFO:root:delegating col 412
INFO:root:col 412 processed
INFO:root:delegating col 413
INFO:root:col 413 processed
INFO:root:delegating col 414
INFO:root:col 414 processed
INFO:root:delegating col 415
INFO:root:col 415 processed
INFO:root:delegating col 416
INFO:root:col 416 processed
INFO:root:delegating col 417
INFO:root:col 417 processed
INFO:root:delegating col 418
INFO:root:col 418 processed
INFO:root:delegating col 419
INFO:root:col 419 processed
INFO:root:delegating col 420
INFO:root:col 420 processed
INFO:root:delegating col 421
INFO:root:col 421 processed
INFO:root:delegating col 422
INFO:root:col 422 processed
INFO:root:delegating col 423
INFO:root:col 423 processed
INFO:root:delegating col 424
INFO:root:col 424 processed
INFO:root:delegating col 425
INFO:root:col 425 processed
INFO:root:delegating col 426
INFO:root:col 426 processed
INFO:root:delegating col 427
INFO:root:col 427 processed
INFO:root:delegating col 428
INFO:root:col 428 processed
INFO:root:delegating col 429
INFO:root:col 429 processed
INFO:root:delegating col 430
INFO:root:col 430 processed
INFO:root:delegating col 431
INFO:root:col 431 processed
INFO:root:delegating col 432
INFO:root:col 432 processed
INFO:root:delegating col 433
INFO:root:col 433 processed
INFO:root:delegating col 434
INFO:root:col 434 processed
INFO:root:delegating col 435
INFO:root:col 435 processed
INFO:root:delegating col 436
INFO:root:col 436 processed
INFO:root:delegating col 437
INFO:root:col 437 processed
INFO:root:delegating col 438
INFO:root:col 438 processed
INFO:root:delegating col 439
INFO:root:col 439 processed
INFO:root:delegating col 440
INFO:root:col 440 processed
INFO:root:delegating col 441
INFO:root:col 441 processed
INFO:root:delegating col 442
INFO:root:col 442 processed
INFO:root:delegating col 443
INFO:root:col 443 processed
INFO:root:delegating col 444
INFO:root:col 444 processed
INFO:root:delegating col 445
INFO:root:col 445 processed
INFO:root:delegating col 446
INFO:root:col 446 processed
INFO:root:delegating col 447
INFO:root:col 447 processed
INFO:root:delegating col 448
INFO:root:col 448 processed
INFO:root:delegating col 449
INFO:root:col 449 processed
INFO:root:delegating col 450
INFO:root:col 450 processed
INFO:root:delegating col 451
INFO:root:col 451 processed
INFO:root:delegating col 452
INFO:root:col 452 processed
INFO:root:delegating col 453
INFO:root:col 453 processed
INFO:root:delegating col 454
INFO:root:col 454 processed
INFO:root:delegating col 455
INFO:root:col 455 processed
INFO:root:delegating col 456
INFO:root:col 456 processed
INFO:root:delegating col 457
INFO:root:col 457 processed
INFO:root:delegating col 458
INFO:root:col 458 processed
INFO:root:delegating col 459
INFO:root:col 459 processed
INFO:root:delegating col 460
INFO:root:col 460 processed
INFO:root:delegating col 461
INFO:root:col 461 processed
INFO:root:delegating col 462
INFO:root:col 462 processed
INFO:root:delegating col 463
INFO:root:col 463 processed
INFO:root:delegating col 464
INFO:root:col 464 processed
INFO:root:delegating col 465
INFO:root:col 465 processed
INFO:root:delegating col 466
INFO:root:col 466 processed
INFO:root:delegating col 467
INFO:root:col 467 processed
INFO:root:delegating col 468
INFO:root:col 468 processed
INFO:root:delegating col 469
INFO:root:col 469 processed
INFO:root:delegating col 470
INFO:root:col 470 processed
INFO:root:delegating col 471
INFO:root:col 471 processed
INFO:root:delegating col 472
INFO:root:col 472 processed
INFO:root:delegating col 473
INFO:root:col 473 processed
INFO:root:delegating col 474
INFO:root:col 474 processed
INFO:root:delegating col 475
INFO:root:col 475 processed
INFO:root:delegating col 476
INFO:root:col 476 processed
INFO:root:delegating col 477
INFO:root:col 477 processed
INFO:root:delegating col 478
INFO:root:col 478 processed
INFO:root:delegating col 479
INFO:root:col 479 processed
INFO:root:delegating col 480
INFO:root:col 480 processed
INFO:root:delegating col 481
INFO:root:col 481 processed
INFO:root:delegating col 482
INFO:root:col 482 processed
INFO:root:delegating col 483
INFO:root:col 483 processed
INFO:root:delegating col 484
INFO:root:col 484 processed
INFO:root:delegating col 485
INFO:root:col 485 processed
INFO:root:delegating col 486
INFO:root:col 486 processed
INFO:root:delegating col 487
INFO:root:col 487 processed
INFO:root:delegating col 488
INFO:root:col 488 processed
INFO:root:delegating col 489
INFO:root:col 489 processed
INFO:root:delegating col 490
INFO:root:col 490 processed
INFO:root:delegating col 491
INFO:root:col 491 processed
INFO:root:delegating col 492
INFO:root:col 492 processed
INFO:root:delegating col 493
INFO:root:col 493 processed
INFO:root:delegating col 494
INFO:root:col 494 processed
INFO:root:delegating col 495
